customer_id,loyalty_segment,region,signup_date
CUST_00001,One-time,Midwest,2023-03-05
CUST_00002,Loyal,Midwest,2023-05-03
CUST_00003,Occasional,Northeast,2023-09-11
CUST_00004,Occasional,Southwest,2023-04-24
CUST_00005,One-time,West,2023-01-20
CUST_00006,One-time,West,2023-01-16
CUST_00007,One-time,Southwest,2023-05-25
CUST_00008,Loyal,West,2023-07-27
CUST_00009,Occasional,Midwest,2023-01-19
CUST_00010,Occasional,West,2023-06-15
CUST_00011,One-time,Northeast,2023-02-07
CUST_00012,Loyal,West,2023-06-30
CUST_00013,Loyal,Northeast,2023-12-15
CUST_00014,One-time,West,2023-04-15
CUST_00015,One-time,Southeast,2023-04-10
CUST_00016,One-time,Northeast,2023-03-31
CUST_00017,One-time,Northeast,2023-10-27
CUST_00018,Occasional,Northeast,2023-11-28
CUST_00019,One-time,West,2023-03-20
CUST_00020,One-time,West,2023-03-14
CUST_00021,Occasional,Midwest,2023-06-25
CUST_00022,One-time,Northeast,2023-04-06
CUST_00023,One-time,Northeast,2023-12-11
CUST_00024,One-time,Northeast,2023-04-13
CUST_00025,Occasional,Northeast,2023-08-12
CUST_00026,Occasional,Southwest,2023-01-06
CUST_00027,One-time,Southeast,2023-05-02
CUST_00028,Occasional,Southeast,2023-08-24
CUST_00029,Occasional,Northeast,2023-04-26
CUST_00030,One-time,Southeast,2023-06-12
CUST_00031,Occasional,Midwest,2023-08-14
CUST_00032,One-time,West,2023-08-18
CUST_00033,One-time,Southeast,2023-07-01
CUST_00034,Loyal,Northeast,2023-09-06
CUST_00035,Loyal,Southeast,2023-11-14
CUST_00036,Loyal,Southeast,2023-07-29
CUST_00037,One-time,Northeast,2023-05-24
CUST_00038,One-time,Southwest,2023-12-11
CUST_00039,Occasional,West,2023-04-06
CUST_00040,One-time,Midwest,2023-12-12
CUST_00041,One-time,Southeast,2023-09-01
CUST_00042,Occasional,Midwest,2023-03-27
CUST_00043,One-time,Midwest,2023-07-03
CUST_00044,Loyal,West,2023-05-01
CUST_00045,One-time,West,2023-11-28
CUST_00046,Occasional,Northeast,2023-04-02
CUST_00047,One-time,Midwest,2023-03-11
CUST_00048,Occasional,Southeast,2023-05-13
CUST_00049,Occasional,Southwest,2023-10-06
CUST_00050,One-time,West,2023-05-17
CUST_00051,Loyal,Midwest,2023-11-10
CUST_00052,Occasional,Northeast,2023-07-06
CUST_00053,Loyal,West,2023-08-09
CUST_00054,Loyal,Northeast,2023-02-15
CUST_00055,Occasional,Southeast,2023-10-05
CUST_00056,Loyal,Northeast,2023-07-11
CUST_00057,One-time,West,2023-01-08
CUST_00058,One-time,Northeast,2023-10-03
CUST_00059,One-time,Southeast,2023-06-28
CUST_00060,One-time,Southwest,2023-11-30
CUST_00061,One-time,Northeast,2023-02-08
CUST_00062,One-time,Midwest,2023-10-20
CUST_00063,Loyal,Southeast,2023-06-27
CUST_00064,One-time,Northeast,2023-06-11
CUST_00065,One-time,West,2023-11-27
CUST_00066,Occasional,Northeast,2023-04-14
CUST_00067,One-time,Midwest,2023-06-10
CUST_00068,Loyal,Midwest,2023-10-14
CUST_00069,One-time,West,2023-05-03
CUST_00070,Loyal,West,2023-02-23
CUST_00071,Occasional,Southeast,2023-02-03
CUST_00072,One-time,Northeast,2023-08-30
CUST_00073,One-time,West,2023-04-23
CUST_00074,Loyal,Midwest,2023-11-14
CUST_00075,Occasional,West,2023-01-23
CUST_00076,Occasional,West,2023-02-15
CUST_00077,Occasional,West,2023-11-08
CUST_00078,One-time,Midwest,2023-05-15
CUST_00079,One-time,Southeast,2023-04-28
CUST_00080,One-time,West,2023-07-08
CUST_00081,Loyal,Midwest,2023-05-11
CUST_00082,Occasional,Northeast,2023-07-31
CUST_00083,One-time,Southwest,2023-04-23
CUST_00084,One-time,Southwest,2023-02-13
CUST_00085,One-time,Midwest,2023-05-08
CUST_00086,One-time,Northeast,2023-12-30
CUST_00087,Occasional,Southeast,2023-06-07
CUST_00088,Occasional,West,2023-09-30
CUST_00089,Loyal,Southwest,2023-11-11
CUST_00090,Occasional,Northeast,2023-12-21
CUST_00091,One-time,Northeast,2023-12-06
