customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_score,segment
CUST_00001,436,2,866.3499999999999,2,1,3,6,Potential
CUST_00002,179,10,4451.389999999999,3,4,4,11,Champions
CUST_00003,884,3,771.56,1,2,3,6,Potential
CUST_00004,64,2,128.14,4,1,1,6,Potential
CUST_00005,106,1,99.42,4,1,1,6,Potential
CUST_00008,123,9,920.3499999999999,3,4,3,10,Champions
CUST_00009,541,1,176.1,1,1,1,3,Lost
CUST_00010,180,1,76.47,3,1,1,5,At Risk
CUST_00011,130,2,561.86,3,1,3,7,Potential
CUST_00012,207,9,1388.65,3,4,4,11,Champions
CUST_00013,216,9,1751.19,3,4,4,11,Champions
CUST_00014,522,3,497.03000000000003,1,2,2,5,At Risk
CUST_00015,799,1,2070.0,1,1,4,6,Potential
CUST_00018,184,5,1948.74,3,3,4,10,Champions
CUST_00019,565,1,40.26,1,1,1,3,Lost
CUST_00020,281,2,484.31,2,1,2,5,At Risk
CUST_00021,442,4,857.81,2,3,3,8,Loyal
CUST_00025,186,3,712.46,3,2,3,8,Loyal
CUST_00026,134,6,1373.07,3,3,4,10,Champions
CUST_00028,191,6,813.2,3,3,3,9,Loyal
CUST_00029,89,3,462.41999999999996,4,2,2,8,Loyal
CUST_00030,879,1,80.72,1,1,1,3,Lost
CUST_00031,204,5,566.09,3,3,3,9,Loyal
CUST_00032,479,2,540.4300000000001,2,1,3,6,Potential
CUST_00033,813,1,95.34,1,1,1,3,Lost
CUST_00034,110,12,2076.91,4,4,4,12,Champions
CUST_00035,119,13,2154.69,3,4,4,11,Champions
CUST_00036,281,10,2530.48,2,4,4,10,Champions
CUST_00037,641,1,264.99,1,1,2,4,At Risk
CUST_00038,463,1,125.22,2,1,1,4,At Risk
CUST_00039,112,6,1942.61,4,3,4,11,Champions
CUST_00040,965,1,46.6,1,1,1,3,Lost
CUST_00041,204,2,177.91,3,1,1,5,At Risk
CUST_00042,11,8,2431.83,4,4,4,12,Champions
CUST_00044,234,8,1218.32,2,4,4,10,Champions
CUST_00045,430,2,621.6700000000001,2,1,3,6,Potential
CUST_00046,72,4,2388.68,4,3,4,11,Champions
CUST_00048,480,3,845.1800000000001,2,2,3,7,Potential
CUST_00049,254,4,823.87,2,3,3,8,Loyal
CUST_00050,156,1,69.96,3,1,1,5,At Risk
CUST_00051,166,11,1375.79,3,4,4,11,Champions
CUST_00052,856,1,102.15,1,1,1,3,Lost
CUST_00053,12,14,2630.43,4,4,4,12,Champions
CUST_00054,101,8,2440.0699999999997,4,4,4,12,Champions
CUST_00055,238,5,1983.37,2,3,4,9,Loyal
CUST_00056,148,11,1680.39,3,4,4,11,Champions
CUST_00057,64,1,25.54,4,1,1,6,Potential
CUST_00059,637,2,460.46999999999997,1,1,2,4,At Risk
CUST_00061,160,2,302.88,3,1,2,6,Potential
CUST_00062,74,3,726.47,4,2,3,9,Loyal
CUST_00063,116,11,1170.11,4,4,4,12,Champions
CUST_00064,246,3,504.57,2,2,2,6,Potential
CUST_00065,1044,1,24.41,1,1,1,3,Lost
CUST_00066,156,4,1386.88,3,3,4,10,Champions
CUST_00067,135,3,143.2,3,2,1,6,Potential
CUST_00068,163,10,1227.8799999999999,3,4,4,11,Champions
CUST_00069,594,3,274.26,1,2,2,5,At Risk
CUST_00070,230,7,635.01,2,4,3,9,Loyal
CUST_00071,68,5,1164.8,4,3,4,11,Champions
CUST_00074,71,9,1808.26,4,4,4,12,Champions
CUST_00075,951,1,149.88,1,1,1,3,Lost
CUST_00076,798,2,214.04000000000002,1,1,2,4,At Risk
CUST_00077,441,3,451.39,2,2,2,6,Potential
CUST_00078,1003,1,640.59,1,1,3,5,At Risk
CUST_00079,194,2,769.11,3,1,3,7,Potential
CUST_00080,119,2,164.42,3,1,1,5,At Risk
CUST_00081,231,6,601.11,2,3,3,8,Loyal
CUST_00082,186,5,864.0899999999999,3,3,3,9,Loyal
CUST_00083,329,1,957.85,2,1,3,6,Potential
CUST_00084,599,2,765.79,1,1,3,5,At Risk
CUST_00085,917,1,579.55,1,1,3,5,At Risk
CUST_00086,180,2,189.64,3,1,1,5,At Risk
CUST_00087,78,4,459.63,4,3,2,9,Loyal
CUST_00088,551,2,166.86,1,1,1,3,Lost
CUST_00089,154,6,1485.38,3,3,4,10,Champions
CUST_00090,280,5,1074.53,2,3,3,8,Loyal
CUST_00091,222,3,245.72,3,2,2,7,Potential
CUST_00092,725,3,159.92999999999998,1,2,1,4,At Risk
CUST_00093,218,6,831.64,3,3,3,9,Loyal
CUST_00094,212,7,1249.21,3,4,4,11,Champions
CUST_00095,218,6,1088.56,3,3,3,9,Loyal
CUST_00096,101,3,1139.8700000000001,4,2,3,9,Loyal
CUST_00097,265,5,816.64,2,3,3,8,Loyal
CUST_00098,932,1,108.53,1,1,1,3,Lost
CUST_00100,891,1,141.45,1,1,1,3,Lost
CUST_00102,24,2,88.77,4,1,1,6,Potential
CUST_00103,304,1,1919.72,2,1,4,7,Potential
CUST_00104,229,3,459.61,2,2,2,6,Potential
CUST_00105,299,8,639.75,2,4,3,9,Loyal
CUST_00110,247,3,763.92,2,2,3,7,Potential
CUST_00111,298,3,320.25,2,2,2,6,Potential
