transaction_id,customer_id,transaction_date,category,unit_price,quantity,discount_pct,total_amount,channel,device,payment_method,region,returned
TXN_004772,CUST_01938,2023-01-01,Electronics,108.63,1,0.15,92.34,Organic Search,Tablet,Apple Pay,Northeast,False
TXN_010384,CUST_02804,2023-01-01,Clothing,95.4,2,0.1,171.72,Organic Search,Desktop,Credit Card,West,False
TXN_011992,CUST_01853,2023-01-01,Clothing,133.91,3,0.15,341.47,Organic Search,Desktop,Credit Card,Northeast,False
TXN_002828,CUST_02323,2023-01-01,Beauty & Health,46.67,2,0.0,93.34,Organic Search,Mobile,Debit Card,West,False
TXN_004662,CUST_01411,2023-01-01,Electronics,106.46,5,0.0,532.3,Organic Search,Desktop,Credit Card,Southeast,True
TXN_006313,CUST_00044,2023-01-01,Electronics,114.73,1,0.05,108.99,Paid Ads,Mobile,Debit Card,West,False
TXN_003677,CUST_01368,2023-01-01,Clothing,106.86,1,0.05,101.52,Email,Mobile,Credit Card,Southeast,False
TXN_003037,CUST_00484,2023-01-01,Home & Kitchen,108.99,1,0.0,108.99,Paid Ads,Mobile,Debit Card,Southeast,False
TXN_009811,CUST_03054,2023-01-01,Electronics,58.11,1,0.05,55.2,Social Media,Desktop,Credit Card,Northeast,False
TXN_003110,CUST_00985,2023-01-01,Toys & Games,54.6,1,0.0,54.6,Organic Search,Mobile,Credit Card,Northeast,False
TXN_003987,CUST_00967,2023-01-01,Home & Kitchen,79.61,1,0.15,67.67,Social Media,Desktop,Credit Card,Southeast,False
TXN_006434,CUST_01085,2023-01-02,Clothing,57.49,1,0.2,45.99,Organic Search,Mobile,PayPal,Midwest,False
TXN_009479,CUST_02553,2023-01-02,Home & Kitchen,12.33,1,0.05,11.71,Social Media,Mobile,Debit Card,Northeast,False
TXN_002105,CUST_01564,2023-01-02,Home & Kitchen,19.83,2,0.0,39.66,Organic Search,Mobile,Apple Pay,Southeast,False
TXN_004540,CUST_01624,2023-01-02,Electronics,313.83,1,0.2,251.06,Paid Ads,Desktop,PayPal,Southeast,False
TXN_004448,CUST_02739,2023-01-02,Clothing,19.64,1,0.15,16.69,Social Media,Mobile,Debit Card,Southeast,False
TXN_004438,CUST_02055,2023-01-02,Beauty & Health,14.67,3,0.05,41.81,Paid Ads,Desktop,PayPal,Southwest,False
TXN_005874,CUST_00746,2023-01-02,Clothing,29.1,1,0.05,27.64,Paid Ads,Mobile,Credit Card,Northeast,False
TXN_003034,CUST_00672,2023-01-02,Home & Kitchen,81.11,1,0.05,77.05,Email,Mobile,Debit Card,Northeast,False
TXN_000837,CUST_02275,2023-01-02,Home & Kitchen,55.5,1,0.0,55.5,Social Media,Mobile,Credit Card,Northeast,False
TXN_006386,CUST_03109,2023-01-03,Clothing,54.62,3,0.05,155.67,Social Media,Mobile,Credit Card,Midwest,False
TXN_002813,CUST_01398,2023-01-03,Home & Kitchen,40.57,1,0.05,38.54,Organic Search,Tablet,Credit Card,Southeast,False
TXN_012339,CUST_00068,2023-01-03,Electronics,121.88,1,0.0,121.88,Organic Search,Mobile,Credit Card,Midwest,False
TXN_001690,CUST_01847,2023-01-03,Electronics,59.63,1,0.05,56.65,Organic Search,Desktop,PayPal,Midwest,False
TXN_011601,CUST_02279,2023-01-03,Home & Kitchen,184.24,1,0.0,184.24,Social Media,Mobile,PayPal,West,False
TXN_008377,CUST_01689,2023-01-03,Electronics,343.77,1,0.05,326.58,Organic Search,Mobile,Apple Pay,Northeast,False
TXN_001905,CUST_02409,2023-01-03,Home & Kitchen,66.16,1,0.1,59.54,Social Media,Desktop,Credit Card,Midwest,False
TXN_008608,CUST_02386,2023-01-03,Clothing,79.5,2,0.15,135.15,Organic Search,Desktop,Credit Card,Northeast,False
TXN_001869,CUST_00954,2023-01-03,Electronics,144.39,1,0.2,115.51,Email,Desktop,Credit Card,Southeast,False
TXN_005378,CUST_00458,2023-01-03,Clothing,66.31,2,0.0,132.62,Social Media,Mobile,PayPal,Midwest,False
TXN_002642,CUST_02263,2023-01-04,Clothing,70.0,1,0.05,66.5,Social Media,Mobile,Apple Pay,Northeast,False
TXN_011809,CUST_00452,2023-01-04,Electronics,212.38,3,0.0,637.14,Social Media,Desktop,Credit Card,Southeast,False
TXN_009443,CUST_03109,2023-01-04,Home & Kitchen,115.8,1,0.05,110.01,Organic Search,Desktop,Debit Card,Midwest,False
TXN_003521,CUST_02233,2023-01-04,Books & Media,12.74,3,0.0,38.22,Email,Desktop,Credit Card,West,False
TXN_002593,CUST_00474,2023-01-04,Toys & Games,58.54,2,0.05,111.23,Paid Ads,Mobile,Apple Pay,Northeast,False
TXN_007606,CUST_02635,2023-01-04,Sports & Outdoor,40.05,2,0.0,80.1,Social Media,Mobile,Credit Card,West,False
TXN_009321,CUST_01224,2023-01-04,Clothing,130.89,1,0.15,111.26,Social Media,Mobile,PayPal,West,False
TXN_007107,CUST_00746,2023-01-04,Clothing,119.96,3,0.0,359.88,Direct,Mobile,Credit Card,Northeast,False
TXN_004978,CUST_02406,2023-01-04,Books & Media,15.72,1,0.0,15.72,Paid Ads,Mobile,PayPal,Midwest,False
TXN_005556,CUST_02543,2023-01-04,Clothing,147.06,1,0.0,147.06,Paid Ads,Mobile,PayPal,West,False
TXN_001526,CUST_02518,2023-01-04,Electronics,405.02,2,0.05,769.54,Paid Ads,Tablet,Debit Card,Southeast,False
TXN_001341,CUST_01150,2023-01-04,Beauty & Health,15.4,1,0.0,15.4,Social Media,Mobile,Credit Card,West,False
TXN_002104,CUST_00229,2023-01-04,Home & Kitchen,129.85,1,0.1,116.86,Direct,Desktop,Credit Card,Southwest,False
TXN_005753,CUST_02016,2023-01-04,Books & Media,37.81,1,0.05,35.92,Social Media,Mobile,Credit Card,West,False
TXN_005897,CUST_01121,2023-01-05,Electronics,353.92,1,0.05,336.22,Organic Search,Mobile,Debit Card,Midwest,False
